id,date,season,home_team_id,away_team_id,home_score,away_score
1,2025-08-15,2025/26,45,77,4,2
2,2025-08-16,2025/26,66,27,0,0
3,2025-08-16,2025/26,85,36,1,1
4,2025-08-16,2025/26,54,21,3,0
5,2025-08-16,2025/26,73,70,3,0
6,2025-08-16,2025/26,51,25,0,4
7,2025-08-17,2025/26,16,15,0,0
8,2025-08-17,2025/26,57,72,3,1
9,2025-08-17,2025/26,89,1,0,1
10,2025-08-18,2025/26,62,86,1,0
11,2025-08-22,2025/26,21,16,1,5
12,2025-08-23,2025/26,25,73,0,2
13,2025-08-23,2025/26,77,51,1,0
14,2025-08-23,2025/26,72,66,1,0
15,2025-08-23,2025/26,70,54,2,0
16,2025-08-23,2025/26,1,62,5,0
17,2025-08-24,2025/26,15,57,1,1
18,2025-08-24,2025/26,86,85,2,0
19,2025-08-24,2025/26,36,89,1,1
20,2025-08-25,2025/26,27,45,2,3
21,2025-08-30,2025/26,16,36,2,0
22,2025-08-30,2025/26,89,70,3,2
23,2025-08-30,2025/26,54,72,2,1
24,2025-08-30,2025/26,73,77,0,1
25,2025-08-30,2025/26,51,86,2,3
26,2025-08-30,2025/26,62,27,0,0
27,2025-08-31,2025/26,85,25,2,1
28,2025-08-31,2025/26,57,21,0,3
29,2025-08-31,2025/26,45,1,1,0
30,2025-08-31,2025/26,66,15,0,3
31,2025-09-13,2025/26,1,57,3,0
32,2025-09-13,2025/26,77,85,2,1
33,2025-09-13,2025/26,15,54,0,0
34,2025-09-13,2025/26,86,66,0,0
35,2025-09-13,2025/26,36,62,1,0
36,2025-09-13,2025/26,27,51,1,0
37,2025-09-13,2025/26,21,73,0,3
38,2025-09-13,2025/26,72,16,2,2
39,2025-09-14,2025/26,70,45,0,1
40,2025-09-14,2025/26,25,89,3,0
41,2025-09-20,2025/26,45,86,2,1
42,2025-09-20,2025/26,85,73,2,2
43,2025-09-20,2025/26,70,57,1,1
44,2025-09-20,2025/26,21,15,1,2
45,2025-09-20,2025/26,51,62,1,3
46,2025-09-20,2025/26,89,16,2,1
47,2025-09-20,2025/26,36,72,3,1
48,2025-09-21,2025/26,77,27,0,0
49,2025-09-21,2025/26,54,66,1,1
50,2025-09-21,2025/26,1,25,1,1
51,2025-09-27,2025/26,72,89,3,1
52,2025-09-27,2025/26,16,85,1,3
53,2025-09-27,2025/26,15,45,2,1
54,2025-09-27,2025/26,62,77,2,2
55,2025-09-27,2025/26,25,70,5,1
56,2025-09-27,2025/26,57,54,0,1
57,2025-09-27,2025/26,73,51,1,1
58,2025-09-28,2025/26,66,36,3,1
59,2025-09-28,2025/26,27,1,1,2
60,2025-09-29,2025/26,86,21,1,1
61,2025-10-03,2025/26,77,36,3,1
62,2025-10-04,2025/26,62,73,1,2
63,2025-10-04,2025/26,1,21,2,0
64,2025-10-04,2025/26,89,54,2,0
65,2025-10-04,2025/26,16,45,2,1
66,2025-10-05,2025/26,66,70,2,1
67,2025-10-05,2025/26,86,15,2,1
68,2025-10-05,2025/26,27,57,2,0
69,2025-10-05,2025/26,51,85,1,1
70,2025-10-05,2025/26,72,25,0,1
71,2025-10-18,2025/26,57,16,0,3
72,2025-10-18,2025/26,85,27,2,1
73,2025-10-18,2025/26,70,62,2,0
74,2025-10-18,2025/26,15,77,3,3
75,2025-10-18,2025/26,25,86,2,0
76,2025-10-18,2025/26,54,51,2,0
77,2025-10-18,2025/26,36,1,0,1
78,2025-10-19,2025/26,73,66,1,2
79,2025-10-19,2025/26,45,89,1,2
80,2025-10-20,2025/26,21,72,0,2
81,2025-10-24,2025/26,62,21,2,1
82,2025-10-25,2025/26,16,54,1,2
83,2025-10-25,2025/26,27,36,2,1
84,2025-10-25,2025/26,89,85,4,2
85,2025-10-25,2025/26,72,45,3,2
86,2025-10-26,2025/26,1,15,1,0
87,2025-10-26,2025/26,66,25,1,0
88,2025-10-26,2025/26,77,57,2,0
89,2025-10-26,2025/26,51,70,2,3
90,2025-10-26,2025/26,86,73,0,3
91,2025-11-01,2025/26,85,62,3,0
92,2025-11-01,2025/26,70,1,0,2
93,2025-11-01,2025/26,15,72,2,0
94,2025-11-01,2025/26,36,51,3,0
95,2025-11-01,2025/26,57,89,2,2
96,2025-11-01,2025/26,73,16,0,1
97,2025-11-01,2025/26,45,66,2,0
98,2025-11-02,2025/26,21,27,3,1
99,2025-11-02,2025/26,25,77,3,1
100,2025-11-03,2025/26,54,86,1,1
101,2025-11-08,2025/26,73,89,2,2
102,2025-11-08,2025/26,86,36,2,0
103,2025-11-08,2025/26,21,70,3,2
104,2025-11-08,2025/26,54,1,2,2
105,2025-11-08,2025/26,16,51,3,0
106,2025-11-09,2025/26,66,77,4,0
107,2025-11-09,2025/26,72,27,3,1
108,2025-11-09,2025/26,15,85,0,0
109,2025-11-09,2025/26,57,62,3,1
110,2025-11-09,2025/26,25,45,3,0
111,2025-11-22,2025/26,70,16,0,2
112,2025-11-22,2025/26,77,21,2,2
113,2025-11-22,2025/26,85,72,2,1
114,2025-11-22,2025/26,36,54,1,0
115,2025-11-22,2025/26,45,57,0,3
116,2025-11-22,2025/26,51,15,0,2
117,2025-11-22,2025/26,27,25,2,1
118,2025-11-23,2025/26,62,66,1,2
119,2025-11-23,2025/26,1,73,4,1
120,2025-11-24,2025/26,89,86,0,1
121,2025-11-29,2025/26,72,70,3,1
