player_id,match_id,minutes_played,goals,assists,shots,yellow_cards,red_cards
881,1,31,3,1,2,0,0
882,1,65,1,1,4,0,0
883,1,63,2,2,5,1,0
884,1,76,2,0,5,0,0
885,1,54,1,1,0,1,0
886,1,60,3,1,5,0,0
887,1,40,1,2,0,0,0
888,1,16,0,1,5,1,0
889,1,78,3,1,5,1,0
890,1,30,2,2,2,0,0
891,1,20,3,2,3,1,0
892,1,61,2,2,0,0,0
893,1,77,1,2,2,0,0
894,1,75,0,0,1,0,0
895,1,61,3,0,5,0,0
896,1,18,1,1,5,1,0
897,1,72,3,2,1,1,0
898,1,22,3,1,5,1,0
899,1,61,2,2,1,1,0
900,1,22,1,0,3,0,0
1521,1,16,2,2,5,0,0
1522,1,22,3,2,5,1,0
1523,1,1,0,2,3,1,0
1524,1,36,1,1,4,1,0
1525,1,54,1,0,1,0,0
1526,1,46,0,1,0,1,0
1527,1,59,0,0,1,0,0
1528,1,48,0,2,0,0,0
1529,1,0,3,1,4,1,0
1530,1,83,0,0,5,1,0
1531,1,28,2,0,0,0,0
1532,1,85,0,1,2,1,0
1533,1,18,0,2,5,0,0
1534,1,7,0,0,1,0,0
1535,1,65,3,2,5,0,0
1536,1,40,2,1,3,0,0
1537,1,6,0,0,3,0,0
1538,1,11,2,0,0,0,0
1539,1,70,0,0,3,1,0
1540,1,53,1,2,5,1,0
521,2,56,1,0,2,1,0
522,2,90,2,2,5,1,0
523,2,13,0,1,5,1,0
524,2,30,1,0,3,1,0
525,2,82,0,2,2,0,0
526,2,60,3,0,1,0,0
527,2,89,0,1,1,0,0
528,2,34,3,2,4,1,0
529,2,3,2,0,1,1,0
530,2,62,0,0,1,0,0
531,2,0,0,0,1,0,0
532,2,78,3,0,5,0,0
533,2,22,3,2,4,0,0
534,2,76,3,1,4,1,0
535,2,9,0,2,0,0,0
536,2,57,2,1,3,1,0
537,2,70,3,1,5,0,0
538,2,21,2,0,0,1,0
539,2,10,3,2,0,0,0
540,2,74,1,0,1,1,0
1301,2,77,0,2,4,1,0
1302,2,15,1,0,5,1,0
1303,2,34,0,0,2,1,0
1304,2,29,2,0,5,0,0
1305,2,74,0,1,0,0,0
1306,2,57,3,0,4,1,0
1307,2,53,0,2,3,0,0
1308,2,19,2,0,4,0,0
1309,2,55,2,0,2,1,0
1310,2,63,3,1,3,0,0
1311,2,24,2,2,3,0,0
1312,2,42,3,1,4,1,0
1313,2,12,3,1,2,0,0
1314,2,66,3,0,3,1,0
1315,2,25,0,0,4,1,0
1316,2,32,0,0,0,0,0
1317,2,6,1,0,1,1,0
1318,2,22,1,0,2,1,0
1319,2,16,1,0,3,1,0
1320,2,49,3,2,4,1,0
701,3,29,1,1,5,0,0
702,3,59,1,2,4,0,0
703,3,31,3,2,3,1,0
704,3,18,0,0,4,1,0
705,3,15,3,2,3,1,0
706,3,35,2,1,3,0,0
707,3,33,1,2,0,0,0
708,3,50,3,0,0,1,0
709,3,32,1,0,0,1,0
710,3,55,2,0,1,0,0
711,3,44,0,2,2,1,0
712,3,11,0,2,5,0,0
713,3,35,2,1,5,1,0
714,3,23,0,1,3,0,0
715,3,30,0,2,4,1,0
716,3,50,3,1,4,1,0
717,3,32,3,0,4,0,0
718,3,50,1,2,5,1,0
719,3,81,0,1,5,0,0
720,3,85,2,2,2,0,0
1681,3,83,0,1,0,1,0
1682,3,14,0,1,3,0,0
1683,3,64,3,0,5,0,0
1684,3,75,0,0,4,0,0
1685,3,67,2,0,4,1,0
1686,3,11,0,2,1,0,0
1687,3,88,3,1,3,0,0
1688,3,38,0,1,1,1,0
1689,3,85,2,2,3,0,0
1690,3,29,1,2,1,0,0
1691,3,20,2,1,4,1,0
1692,3,14,1,0,1,0,0
1693,3,78,2,1,1,0,0
1694,3,11,1,0,4,1,0
1695,3,46,3,0,4,0,0
1696,3,1,0,2,4,1,0
1697,3,27,3,2,0,1,0
1698,3,45,1,0,0,0,0
1699,3,56,3,2,3,1,0
1700,3,16,0,2,1,1,0
401,4,47,0,0,4,1,0
402,4,32,2,2,0,1,0
403,4,39,1,0,3,0,0
404,4,5,2,0,2,0,0
405,4,36,2,0,3,1,0
406,4,46,2,1,1,1,0
407,4,82,1,2,1,0,0
408,4,79,0,1,0,0,0
409,4,17,0,0,3,1,0
410,4,49,1,1,5,1,0
411,4,36,3,2,4,0,0
412,4,50,0,2,2,0,0
